matricula,variable,modo,periodo,valor
17,BB,ia,start,5
17,BB,general,end,4
17,BB,inv,end,4
17,BB,ia,end,4
18,BB,general,start,5
18,BB,inv,start,5
18,BB,ia,start,5
18,BB,general,end,5
18,BB,inv,end,5
18,BB,ia,end,5
19,BB,general,start,5
19,BB,inv,start,5
19,BB,ia,start,5
19,BB,general,end,5
19,BB,inv,end,5
19,BB,ia,end,5
20,BB,general,start,5
20,BB,inv,start,5
20,BB,ia,start,5
20,BB,general,end,5
20,BB,inv,end,5
20,BB,ia,end,5
21,BB,general,start,5
21,BB,inv,start,5
21,BB,ia,start,5
21,BB,general,end,5
21,BB,inv,end,5
21,BB,ia,end,5
22,BB,general,start,5
22,BB,inv,start,5
22,BB,ia,start,5
22,BB,general,end,5
22,BB,inv,end,5
22,BB,ia,end,5
23,BB,general,start,5
23,BB,inv,start,5
23,BB,ia,start,5
23,BB,general,end,5
23,BB,inv,end,5
23,BB,ia,end,5
24,BB,general,start,5
24,BB,inv,start,5
24,BB,ia,start,3
24,BB,general,end,3
24,BB,inv,end,3
24,BB,ia,end,3
1,SN,general,start,4
1,SN,inv,start,4
1,SN,ia,start,4
1,SN,general,end,5
1,SN,inv,end,5
1,SN,ia,end,5
2,SN,general,start,5
2,SN,inv,start,5
2,SN,ia,start,5
2,SN,general,end,5
2,SN,inv,end,5
2,SN,ia,end,5
3,SN,general,start,4
3,SN,inv,start,4
3,SN,ia,start,3
3,SN,general,end,5
3,SN,inv,end,5
3,SN,ia,end,4
4,SN,general,start,5
4,SN,inv,start,5
4,SN,ia,start,5
4,SN,general,end,5
4,SN,inv,end,5
4,SN,ia,end,3
5,SN,general,start,4
5,SN,inv,start,5
5,SN,ia,start,4
5,SN,general,end,5
5,SN,inv,end,5
5,SN,ia,end,5
6,SN,general,start,5
6,SN,inv,start,5
6,SN,ia,start,3
6,SN,general,end,5
6,SN,inv,end,5
6,SN,ia,end,4
7,SN,general,start,3
7,SN,inv,start,5
7,SN,ia,start,3
7,SN,general,end,4
7,SN,inv,end,4
7,SN,ia,end,3
8,SN,general,start,4
8,SN,inv,start,4
8,SN,ia,start,4
8,SN,general,end,5
8,SN,inv,end,5
8,SN,ia,end,5
9,SN,general,start,3
9,SN,inv,start,3
9,SN,ia,start,1
9,SN,general,end,4
9,SN,inv,end,4
9,SN,ia,end,5
10,SN,general,start,5
10,SN,inv,start,5
10,SN,ia,start,5
10,SN,general,end,4
10,SN,inv,end,4
10,SN,ia,end,4
11,SN,general,start,5
11,SN,inv,start,5
11,SN,ia,start,5
11,SN,general,end,4
11,SN,inv,end,5
11,SN,ia,end,4
12,SN,general,start,4
12,SN,inv,start,4
12,SN,ia,start,4
12,SN,general,end,5
12,SN,inv,end,5
12,SN,ia,end,5
13,SN,general,start,5
13,SN,inv,start,5
13,SN,ia,start,4
13,SN,general,end,5
13,SN,inv,end,5
13,SN,ia,end,5
14,SN,general,start,4
14,SN,inv,start,4
14,SN,ia,start,4
14,SN,general,end,5
14,SN,inv,end,5
14,SN,ia,end,5
15,SN,general,start,4
15,SN,inv,start,5
15,SN,ia,start,4
15,SN,general,end,4
15,SN,inv,end,4
15,SN,ia,end,3
16,SN,general,start,4
16,SN,inv,start,4
16,SN,ia,start,4
16,SN,general,end,5
16,SN,inv,end,5
16,SN,ia,end,4
17,SN,general,start,5
17,SN,inv,start,5
17,SN,ia,start,5
17,SN,general,end,4
17,SN,inv,end,4
17,SN,ia,end,4
18,SN,general,start,5
18,SN,inv,start,5
18,SN,ia,start,5
18,SN,general,end,5
18,SN,inv,end,5
18,SN,ia,end,5
19,SN,general,start,5
19,SN,inv,start,5
19,SN,ia,start,5
19,SN,general,end,5
19,SN,inv,end,5
19,SN,ia,end,5
20,SN,general,start,4
20,SN,inv,start,4
20,SN,ia,start,4
20,SN,general,end,5
20,SN,inv,end,5
20,SN,ia,end,5
21,SN,general,start,5
21,SN,inv,start,5
21,SN,ia,start,5
21,SN,general,end,5
21,SN,inv,end,5
21,SN,ia,end,5
22,SN,general,start,5
22,SN,inv,start,5
22,SN,ia,start,5
22,SN,general,end,5
22,SN,inv,end,5
22,SN,ia,end,5
23,SN,general,start,3
23,SN,inv,start,4
23,SN,ia,start,3
23,SN,general,end,4
23,SN,inv,end,4
23,SN,ia,end,4
24,SN,general,start,4
24,SN,inv,start,4
24,SN,ia,start,4
24,SN,general,end,4
24,SN,inv,end,4
24,SN,ia,end,4
